127.0.0.1, 2016-04-01 12:29:45, GET, /admin/static/_2.14.3/css/bootstrap.min.css, HTTP/1.1, 304, 0.000937
127.0.0.1, 2016-04-01 12:29:45, GET, /admin/static/_2.14.3/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.000920
127.0.0.1, 2016-04-01 12:29:45, GET, /admin/static/_2.14.3/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.001387
127.0.0.1, 2016-04-01 12:29:45, GET, /admin/static/_2.14.3/js/bootstrap.min.js, HTTP/1.1, 304, 0.001825
127.0.0.1, 2016-04-01 12:29:46, GET, /admin/static/_2.14.3/images/help.png, HTTP/1.1, 304, 0.001512
127.0.0.1, 2016-04-01 12:29:52, GET, /admin/default/index, HTTP/1.1, 303, 0.012360
127.0.0.1, 2016-04-01 12:29:52, GET, /admin/default/site, HTTP/1.1, 200, 0.203963
127.0.0.1, 2016-04-01 12:29:55, GET, /interface/default/index, HTTP/1.1, 200, 0.563026
127.0.0.1, 2016-04-01 12:29:55, GET, /interface/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001413
127.0.0.1, 2016-04-01 12:29:55, GET, /interface/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.002993
127.0.0.1, 2016-04-01 12:29:55, GET, /interface/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001935
127.0.0.1, 2016-04-01 12:29:56, GET, /interface/static/js/jquery.js, HTTP/1.1, 200, 0.001852
127.0.0.1, 2016-04-01 12:29:56, GET, /interface/static/css/calendar.css, HTTP/1.1, 200, 0.001829
127.0.0.1, 2016-04-01 12:29:56, GET, /interface/static/js/calendar.js, HTTP/1.1, 200, 0.001427
127.0.0.1, 2016-04-01 12:29:56, GET, /interface/static/js/web2py.js, HTTP/1.1, 200, 0.001049
127.0.0.1, 2016-04-01 12:29:56, GET, /interface/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000977
127.0.0.1, 2016-04-01 12:29:56, GET, /interface/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000927
127.0.0.1, 2016-04-01 12:29:56, GET, /interface/static/js/share.js, HTTP/1.1, 200, 0.002085
127.0.0.1, 2016-04-01 12:29:56, GET, /interface/static/images/favicon.ico, HTTP/1.1, 200, 0.000881
127.0.0.1, 2016-04-01 12:29:56, GET, /interface/static/images/background.jpg, HTTP/1.1, 200, 0.001579
